time,leader,platoon compo,string compo,platoon DTW,ACC,platoon with 3 ACC,platoon with 2 ACC,platoon with 1 ACC,strict stability,weak stability
5.0,11.0,"[26, 31]","[26,31,27]","[0.23,0.92]","[False,False]",False,False,False,Stable,Stable
10.0,11.0,"[26, 31]","[26,31,27]","[0.39,0.91]","[False,False]",False,False,False,Stable,Stable
20.0,26.0,"[31, 27]","[31,27]","[0.54,1.13]","[False,False]",False,False,False,Stable,Stable
25.0,26.0,"[31, 27]","[31,27]","[0.55,0.55]","[False,False]",False,False,False,Stable,Stable
30.0,26.0,"[31, 27]","[31,27]","[0.46,0.59]","[False,False]",False,False,False,Stable,Stable
35.0,26.0,"[31, 27]","[31,27]","[0.41,0.57]","[False,False]",False,False,False,Stable,Stable
115.9,28.0,"[24, 30]","[24,30]","[0.39,0.73]","[True,True]",True,True,False,Stable,Stable
150.9,28.0,"[24, 30]","[24,30]","[0.34,0.76]","[True,True]",True,True,False,Stable,Stable
45.0,30.0,"[44, 39]","[44,39]","[1.02,1.29]","[False,False]",False,False,False,Unstable,Unstable
50.0,30.0,"[44, 39]","[44,39]","[1.14,1.39]","[False,False]",False,False,False,Unstable,Unstable
5.0,38.0,"[37, 40]","[37,40]","[0.28,0.35]","[False,False]",False,False,False,Stable,Stable
5.0,42.0,"[47, 45, 48]","[47,45,48]","[0.42,0.23,0.36]","[False,False,False]",False,False,False,Unstable,Unstable
15.0,42.0,"[47, 45, 48]","[47,45,48]","[1.24,1.47,1.27]","[False,False,False]",False,False,False,Unstable,Unstable
20.0,47.0,"[45, 48]","[45,48]","[0.59,0.43]","[False,False]",False,False,False,Stable,Stable
25.0,47.0,"[45, 48]","[45,48]","[1.18,0.96]","[False,False]",False,False,False,Stable,Stable
30.0,47.0,"[45, 48]","[45,48]","[1.36,1.05]","[False,False]",False,False,False,Stable,Stable
