time,leader,platoon compo,string compo,platoon DTW,ACC,platoon with 3 ACC,platoon with 2 ACC,platoon with 1 ACC,strict stability,weak stability
5.0,0.0,"[2, 9]","[2,9]","[0.9,1.32]","[False,False]",False,False,False,Stable,Stable
31.9,160.0,"[76, 727]","[76,727]","[0.57,1.38]","[False,False]",False,False,False,Stable,Stable
36.9,160.0,"[76, 727]","[76,727]","[0.79,1.13]","[False,False]",False,False,False,Stable,Stable
40.0,9.0,"[5, 8]","[5,8]","[0.34,0.94]","[False,False]",False,False,False,Stable,Stable
45.0,9.0,"[5, 8]","[5,8]","[0.23,0.9]","[False,False]",False,False,False,Stable,Stable
150.5,1380.0,"[11, 676]","[11,676]","[1.36,0.88]","[True,False]",False,False,True,Stable,Stable
