time,leader,platoon compo,string compo,platoon DTW,ACC,platoon with 3 ACC,platoon with 2 ACC,platoon with 1 ACC,strict stability,weak stability
136.5,55.0,"[202, 111]","[202,111]","[1.03,1.28]","[False,False]",False,False,False,Unstable,Unstable
114.0,50.0,"[54, 964]","[54,964,136]","[0.24,1.1]","[True,False]",False,True,False,Stable,Stable
119.0,50.0,"[54, 964, 136]","[54,964,136]","[0.19,0.82,0.73]","[True,False,False]",False,True,False,Stable,Unstable
124.0,50.0,"[54, 964, 136]","[54,964,136]","[0.11,0.8,0.76]","[True,False,False]",False,True,False,Stable,Unstable
129.0,50.0,"[54, 964, 136]","[54,964,136]","[0.11,0.72,0.74]","[True,False,False]",False,True,False,Stable,Unstable
155.7,1103.0,"[1137, 1239]","[1137,1239]","[0.42,0.12]","[False,False]",False,False,False,Unstable,Unstable
160.7,1103.0,"[1137, 1239]","[1137,1239]","[0.42,0.26]","[False,False]",False,False,False,Unstable,Unstable
